source,target,weight
phosphorus,Materials,3
phosphorus,Solutions,1
phosphorus,Ions,1
phosphorus,cellulose,1
phosphorus,analysis,1
phosphorus,Anions,1
phosphorus,Phosphonates,1
phosphorus,metal oxide,1
phosphorus,apatites,1
phosphorus,samples,1
phosphorus,Bovin Serum Albumin,1
phosphorus,Molecule,2
phosphorus,chemical elements,1
phosphorus,hydronium ion,1
phosphorus,H3O+,1
phosphorus,hydrogen atom and ion,1
phosphorus,hydroxide ion,1
phosphorus,phosphoryl chloride,1
phosphorus,hexachlorocyclotriphosphazene,1
phosphorus,modified cellulose,1
phosphorus,carboxymethylcellulose analogues,1
Materials,phosphorus,3
Materials,Biguanides,1
Materials,compounds,2
Materials,nitrogen,1
Materials,metformin,1
Materials,chlorhexidine,1
Materials,gold,1
Materials,Metals,3
Materials,polysaccharides,1
Materials,alginate,2
Materials,bentonite,1
Materials,PS,1
Materials,cadmium,1
Materials,Solutions,4
Materials,Freeze Drying,2
Materials,Ions,2
Materials,cellulose,1
Materials,"Spectroscopy, Fourier Transform Infrared",1
Materials,analysis,2
Materials,Laboratory Procedures,2
Materials,X-Ray Diffraction,5
Materials,manganese oxide,1
Materials,heavy metals,1
Materials,Pb2+,1
Materials,manganese,3
Materials,natural material,1
Materials,"Chemistry Techniques, Analytical",1
Materials,scanning electron microscopy,2
Materials,Carbon,1
Materials,activated carbon,1
Materials,waste product,1
Materials,hydrate,1
Materials,chemical extraction,1
Materials,Microscopic observations,1
Materials,methylene blue,2
Materials,MIC,1
Materials,MBC,1
Materials,BDT,1
Materials,succinic anhydride,1
Materials,"1,4-butanediol",1
Materials,water,1
Materials,bismuth chloride,1
Materials,water vapor,1
Materials,Biopolymers,1
Materials,gelatin,1
Materials,catechol,1
Materials,lithium,1
Materials,nickel,1
Materials,metal oxide,2
Materials,oxygen,1
Materials,soft X-ray absorption spectroscopy,1
Materials,Electrons,3
Materials,electron microscopy analysis,1
Materials,Phenol,1
Materials,apatites,1
Materials,samples,3
Materials,Bovin Serum Albumin,1
Materials,Molecule,2
Materials,"Spectrum Analysis, Raman",1
Materials,epsilon-caprolactone,1
Materials,poly(epsilon-caprolactone,1
Materials,tin,1
Materials,Crystallography,1
Materials,neodymium,1
Materials,TEM,1
Materials,substituted,1
Materials,intramolecular charge transfer,1
Materials,Chemical method,1
Materials,Oxides,1
Materials,charge transfer,1
Materials,catechol oxidation,1
Materials,tap water,1
Materials,titania,1
Materials,carboxymethylcellulose,1
Materials,Thermogravimetry,1
Materials,transmission electron microscopy,1
Materials,anatase,1
Materials,rutile,1
Materials,air,1
Materials,Analysis,1
Materials,calcium amount,1
Materials,ZnO,1
Materials,infrared spectroscopy,1
Materials,prowess,1
Materials,chemical elements,1
Materials,hydronium ion,1
Materials,H3O+,1
Materials,hydrogen atom and ion,1
Materials,hydroxide ion,1
Materials,nitrides,1
Materials,ammonia,1
Materials,in situ neutron diffraction studies,1
Biguanides,Materials,1
Biguanides,compounds,1
Biguanides,nitrogen,1
Biguanides,metformin,1
Biguanides,chlorhexidine,1
Biguanides,gold,1
Biguanides,Metals,1
compounds,Materials,2
compounds,Biguanides,1
compounds,nitrogen,1
compounds,metformin,1
compounds,chlorhexidine,1
compounds,gold,1
compounds,Metals,1
compounds,Spectrum Analysis,1
compounds,Solutions,1
compounds,"Spectroscopy, Fourier Transform Infrared",1
compounds,analysis,3
compounds,"Nitrogen Compounds, Inorganic",2
compounds,B-RAF inhibitor,1
compounds,PLX4032,1
compounds,frameworks,1
compounds,X-Ray Diffraction,3
compounds,Phytochemicals,2
compounds,phenolic acids,2
compounds,Flavonoids,2
compounds,glycoside derivatives,1
compounds,Esculetin,1
compounds,quercetin 3-O-beta-D-glucuronide,1
compounds,Mass Spectrometry,2
compounds,kaempferol-3-O-glucuronide,1
compounds,esculetin,1
compounds,Enzymes,1
compounds,assay,1
compounds,collagenase,1
compounds,elastase,1
compounds,hyaluronidase,1
compounds,scanning electron microscopy,1
compounds,"Crystallography, X-Ray",2
compounds,MIC,1
compounds,MBC,1
compounds,butanol extract,1
compounds,gelatin,1
compounds,insulin,1
compounds,amino acids,1
compounds,fatty acids,1
compounds,carbohydrates,1
compounds,Alkynes,1
compounds,Alkenes,1
compounds,Molecule,2
compounds,benzoic acid,1
compounds,para-hydroxybenzoic acid,1
compounds,"3,4-dihydroxybenzoic acid",1
compounds,Dielectric Spectroscopy,1
compounds,iron,2
compounds,"Spectrum Analysis, Raman",2
