id,type,paper_count
phosphorus,"Element, Ion, or Isotope",5
Materials,Substance,20
Biguanides,Organic Chemical,1
compounds,Organic Chemical,13
nitrogen,"Element, Ion, or Isotope",2
metformin,Organic Chemical,1
chlorhexidine,Organic Chemical,1
gold,"Element, Ion, or Isotope",1
Metals,Inorganic Chemical,3
Spectrum Analysis,Laboratory Procedure,5
chlorophyll a,Organic Chemical,1
proteins,"Amino Acid, Peptide, or Protein",2
polysaccharides,Organic Chemical,2
alginate,Organic Chemical,3
bentonite,Inorganic Chemical,1
PS,Organic Chemical,1
cadmium,"Element, Ion, or Isotope",1
Solutions,Substance,14
Freeze Drying,Laboratory Procedure,2
Ions,"Element, Ion, or Isotope",4
cellulose,Organic Chemical,5
poly(butylene adipate),Organic Chemical,1
PBA,Organic Chemical,1
poly(ethylene adipate),Organic Chemical,1
Polyesters,Organic Chemical,1
hydroxyl groups,Inorganic Chemical,1
isocyanate,Organic Chemical,1
"Spectroscopy, Fourier Transform Infrared",Laboratory Procedure,8
analysis,Laboratory Procedure,9
studies,Laboratory Procedure,4
transcription factors,"Amino Acid, Peptide, or Protein",1
"Nitrogen Compounds, Inorganic",Inorganic Chemical,2
B-RAF inhibitor,"Amino Acid, Peptide, or Protein",1
PLX4032,Organic Chemical,1
frameworks,Organic Chemical,1
Laboratory Procedures,Laboratory Procedure,3
LASSO,Organic Chemical,1
CRM,Organic Chemical,1
X-Ray Diffraction,Laboratory Procedure,15
CIE,Laboratory Procedure,1
Ni2+,"Element, Ion, or Isotope",1
Phytochemicals,Organic Chemical,3
phenolic acids,Organic Chemical,2
Flavonoids,Organic Chemical,3
glycoside derivatives,Organic Chemical,1
Esculetin,Organic Chemical,1
quercetin 3-O-beta-D-glucuronide,Organic Chemical,1
Mass Spectrometry,Laboratory Procedure,2
kaempferol-3-O-glucuronide,Organic Chemical,1
esculetin,Organic Chemical,1
Enzymes,"Amino Acid, Peptide, or Protein",2
assay,Laboratory Procedure,2
collagenase,"Amino Acid, Peptide, or Protein",1
elastase,"Amino Acid, Peptide, or Protein",1
hyaluronidase,"Amino Acid, Peptide, or Protein",1
manganese oxide,Inorganic Chemical,1
heavy metals,"Element, Ion, or Isotope",1
Pb2+,"Element, Ion, or Isotope",2
manganese,"Element, Ion, or Isotope",3
Anions,"Element, Ion, or Isotope",3
hydroxyl,Inorganic Chemical,1
amine,Organic Chemical,1
sulfur,"Element, Ion, or Isotope",1
carboxyl functional,Organic Chemical,1
crystal violet,Organic Chemical,1
Congo red,Organic Chemical,1
CR,"Element, Ion, or Isotope",1
natural material,Substance,1
MitoP-2,"Amino Acid, Peptide, or Protein",1
staining,Laboratory Procedure,1
nitroreductase,"Amino Acid, Peptide, or Protein",1
enzymatic assays,Laboratory Procedure,1
Phosphonates,Organic Chemical,2
bio-oil,Organic Chemical,2
"Chemistry Techniques, Analytical",Laboratory Procedure,3
gas chromatography-mass spectrometry,Laboratory Procedure,1
scanning electron microscopy,Laboratory Procedure,7
Biofuels,Organic Chemical,2
Carbon,"Element, Ion, or Isotope",3
activated carbon,Organic Chemical,2
waste product,Substance,1
hydrate,Organic Chemical,2
chemical extraction,Laboratory Procedure,1
Microscopic observations,Laboratory Procedure,1
methylene blue,Organic Chemical,4
"Crystallography, X-Ray",Laboratory Procedure,2
MIC,Organic Chemical,2
MBC,Organic Chemical,2
BDT,Organic Chemical,1
succinic anhydride,Organic Chemical,1
"1,4-butanediol",Organic Chemical,1
water,Inorganic Chemical,12
bismuth chloride,"Element, Ion, or Isotope",1
water vapor,Inorganic Chemical,1
crystallised,"Amino Acid, Peptide, or Protein",1
Na+,"Element, Ion, or Isotope",1
Ca2,"Amino Acid, Peptide, or Protein",1
clay,Inorganic Chemical,1
Biopolymers,"Amino Acid, Peptide, or Protein",3
Phosphates,Inorganic Chemical,3
slurry,Substance,1
sedimentation,Laboratory Procedure,1
fossil,Substance,2
pretreatment,Substance,2
Chemical fractionation,Laboratory Procedure,2
crystallinity,Laboratory Procedure,3
advantages/disadvantages,Organic Chemical,1
butanol extract,Organic Chemical,1
gelatin,"Amino Acid, Peptide, or Protein",2
insulin,"Amino Acid, Peptide, or Protein",1
amino acids,"Amino Acid, Peptide, or Protein",1
fatty acids,Organic Chemical,2
carbohydrates,Organic Chemical,1
Alkynes,Organic Chemical,4
reactions,Laboratory Procedure,2
Alkenes,Organic Chemical,2
NaCl,Inorganic Chemical,1
halogen bonding,"Element, Ion, or Isotope",1
chloride ions,"Element, Ion, or Isotope",1
X-Ray Photoelectron Spectroscopy,Laboratory Procedure,4
copper,"Element, Ion, or Isotope",3
H2O2,Inorganic Chemical,1
phenol,Organic Chemical,1
catechol,Organic Chemical,2
hydroquinone,Organic Chemical,1
simple centrifugation,Laboratory Procedure,1
